nome,preco
Amendoim ELMA CHIPS Japonês 145g,"4,95"
Ovinhos de Amendoim ELMA CHIPS Vários Tipos 140g / 170g,"4,95"
Batata PRINGLES Vários Sabores  113g / 114g / 120g,"7,99"
Batata LAY’S Vários  Sabores 75g / 80g,"5,88"
Batata ELMA CHIPS RUFFLES  Vários Sabores 57g,"3,65"
Batata ELMA CHIPS RUFFLES 300g,"13,98"
Salgadinhos ELMA CHIPS DORITOS Nacho 300g,"13,98"
Salgadinhos ELMA CHIPS  FANDANGOS   Vários Sabores 140g,"7,70"
Salgadinhos ELMA CHIPS BACONZITOS ou CEBOLITOS  55g / 60g,"3,95"
Salgadinhos ELMA CHIPS CHEETOS Vários Sabores  125g / 140g,"7,70"
Salgadinhos MABEL SKINY Vários Sabores 78g,"2,35"
Batata Palha YOKI Vários Tipos 100g / 105g,"3,85"
Rosquinha de Coco  RANCHEIRO  300g,"2,99"
Biscoito  Mini OREO  Original 35g,"2,15"
Bala HARIBO Vários Tipos  80g / 90g / 100g,"3,85"
Cereal OVOMALTINE Rocks Vários Tipos 110g,"6,99"
Biscoito Recheado NESTLÉ Passatempo Varios  Sabores 130g,"1,69"
Biscoito NESTLÉ NESFIT  Vários Sabores 140g / 160g,"2,69"
Biscoito CLUB SOCIAL Vários Sabores 288g LEVE MAIS PAGUE MENOS,"5,99"
MAGIC TOAST MARILAN Vários Tipos 130g / 144g / 150g,"2,99"
Biscoito Laminado RENATA Vários Tipos 360g,"2,99"
Chocolate MILKA  Vários Sabores 92g / 100g,"13,50"
Chocolate LINDT Lindor ao Leite 112g,"34,95"
"Chocolate KINDER OVO  Surpresas, Azul ou Rosa T2 40g","12,50"
Chocolate HERSHEY’S Vários  Sabores 85g / 87g / 92g,"4,25"
Chocolate  LACTA BIS XTRA  Vários Sabores 45g,"1,85"
"Bombons LACTA Variedades 250,6g ","9,98"
Bombons GAROTO  SERENATA DE AMOR 825g,"29,98"
Chocottone BAUDUCCO  Gotas 908g,"37,90"
Chocottone BAUDUCCO  Gotas Lata 750g,"49,95"
Panettone BAUDUCCO  Frutas Lata 750g,"49,95"
Panettone BAUDUCCO  Frutas 1 kg,"37,90"
Pão de Mel BARION 90g,"2,55"
